questions,attempted,n_kcs,mean_kc_depth,is_choice_type,D_raw,D_emp,D_stat,D_blend,P_L0,P_T,P_S,P_G,irt_discrimination,irt_difficulty_logit,irt_difficulty_unit,p_success,reward_original,reward_desirable
12,1805.0,1,6.0,0,0.1396121883656509,0.1403221649252326,0.5186864282834047,0.1465079566967559,0.426746021651622,0.2780238064954866,0.2129229062436832,0.3,,,,0.5078582119981423,0.08019687780698101,0.08215141168868142
13,557.0,1,6.0,0,0.2118491921005386,0.2115909029264291,0.5186864282834047,0.227285733864605,0.3863571330676975,0.2659071399203092,0.2279244934319981,0.3,,,,0.4823897393090941,0.13741969262243173,0.06425708219836684
14,1261.0,1,6.0,0,0.1657414750198255,0.1663450046749021,0.5186864282834047,0.174532644263016,0.4127336778684919,0.2738201033605476,0.2181274910774172,0.3,,,,0.49888501287133524,0.09878078918746719,0.07546375724323764
16,2377.0,1,5.0,0,0.1989903239377366,0.1990354405459113,0.5061856207239317,0.202863652180868,0.398568173909566,0.2695704521728698,0.2062051975167202,0.3,,,,0.4968108927117957,0.11889602998993157,0.07599922659684177
17,2375.0,1,6.0,0,0.2197894736842105,0.2196609398699581,0.5186864282834047,0.2233909875424751,0.3883045062287624,0.2664913518686287,0.2272011834007454,0.3,,,,0.4835899110251167,0.13438752263025605,0.06502513519060277
18,344.0,1,6.0,0,0.1220930232558139,0.1266152499685429,0.5186864282834047,0.1580648097264195,0.4209675951367902,0.276290278541037,0.2150691789491922,0.3,,,,0.5041401615454677,0.08771063536235658,0.07932985567140638
19,351.0,1,6.0,0,0.1082621082621082,0.1134446118289747,0.5186864282834047,0.1453534162742054,0.4273232918628973,0.2781969875588692,0.212708491593781,0.3,,,,0.5082310114689822,0.07945741074945235,0.08243825482624009
20,634.0,1,5.0,1,0.0946372239747634,0.0979938088509933,0.3426906152323327,0.1090493874525598,0.44547530627372,0.283642591882116,0.1901227521347245,0.11136882656843,,,,0.4225370794804149,0.05718278798165545,0.02210986463130381
21,610.0,1,6.0,0,0.1081967213114754,0.1112507158548406,0.5186864282834047,0.1303492648749296,0.4348253675625352,0.2804476102687605,0.2099220063339155,0.3,,,,0.5130983437301649,0.07002602008310467,0.0862488444780527
22,1699.0,1,5.0,0,0.0517951736315479,0.0535706521166664,0.5061856207239317,0.0614240061121655,0.4692879969439172,0.2907863990831751,0.1819584010477998,0.3,,,,0.5431107043059021,0.030574856131175835,0.11485163656528101
23,1226.0,2,4.0,0,0.2610114192495921,0.2601026893969098,0.5103726188499906,0.2660804743360757,0.3669597628319621,0.2600879288495886,0.1989555031099548,0.3,,,,0.48386316974703075,0.16937928301046015,0.06907221946560158
24,1313.0,1,6.0,0,0.1424219345011424,0.1433518011917101,0.5186864282834047,0.1517360445370197,0.4241319777314901,0.277239593319447,0.2138938368425894,0.3,,,,0.506173168367419,0.0835705906307165,0.08086382404120687
25,606.0,1,6.0,0,0.1303630363036303,0.1327283562117406,0.5186864282834047,0.1509339256490832,0.4245330371754583,0.2773599111526375,0.2137448719062583,0.3,,,,0.5064313663717778,0.08305028087666425,0.08106017013180312
26,367.0,1,6.0,0,0.2643051771117166,0.2612091756810067,0.5186864282834047,0.2806658950212383,0.3596670524893808,0.2579001157468142,0.2378379519325157,0.3,,,,0.4662244616008876,0.18228658860256147,0.054624313176499066
27,4052.0,2,5.5,0,0.1594274432379072,0.1596483180227283,0.5291049660386855,0.1623635800120665,0.4188182099939667,0.27564546299819,0.2075649250021547,0.3,,,,0.5062407766488423,0.09055841086891508,0.08196210971302192
28,857.0,2,6.0,0,0.2928821470245041,0.2908642542628843,0.5353335123391134,0.2991326620895888,0.3504336689552055,0.2551301006865616,0.2412674943880665,0.3,,,,0.4607553150106043,0.19939935116426769,0.05166031080569536
29,500.0,1,5.0,0,0.15,0.1520922134395185,0.5061856207239317,0.1721352364933532,0.4139323817533233,0.274179714525997,0.2009374691131463,0.3,,,,0.5065781420538369,0.09714179152784702,0.08329541400362224
30,546.0,1,6.0,1,0.0824175824175824,0.0867278286016777,0.3540486239280818,0.1006507866915946,0.4496746066542026,0.2849023819962608,0.2044065746712961,0.1124186516635506,,,,0.41962499928750235,0.052285894319321985,0.020855122033498086
31,271.0,1,5.0,0,0.3911439114391143,0.3783091099262873,0.5061856207239317,0.3910542771154213,0.3044728614422893,0.2413418584326868,0.2384664475055008,0.3,,,,0.4405244413796252,0.3000227462541016,0.04343007420728155
32,537.0,1,4.0,1,0.0986964618249534,0.102491833013554,0.3315099770303773,0.1146091951308463,0.4426954024345768,0.282808620730373,0.1751528735205615,0.1106738506086442,,,,0.4268350763782855,0.06047559938456733,0.02390235481134426
33,307.0,1,6.0,0,0.2312703583061889,0.2296267614328734,0.5186864282834047,0.2553590759893006,0.3723204620053497,0.2616961386016049,0.2331381141122986,0.3,,,,0.4738222330463978,0.1602138747284554,0.05898770227080182
34,1113.0,1,6.0,1,0.132973944294699,0.1342347316756836,0.3540486239280818,0.1400041251731219,0.429997937413439,0.2789993812240317,0.2117150518178655,0.1074994843533597,,,,0.40023582962078424,0.0760571749979996,0.01558337259411995
35,1274.0,1,6.0,0,0.06436420722135,0.0665285556325731,0.5186864282834047,0.076930960678221,0.4615345196608895,0.2884603558982668,0.2000014641259553,0.3,,,,0.5307665840857753,0.038937018847621935,0.10108666957130404
36,641.0,1,5.0,0,0.1092043681747269,0.1120846459736,0.5061856207239317,0.1297046597478324,0.4351476701260838,0.2805443010378251,0.1936636559567713,0.3,,,,0.5203310804105702,0.06962811640373091,0.09440170854185174
37,322.0,1,5.0,0,0.1118012422360248,0.1172162309606714,0.5061856207239317,0.1503670312245856,0.4248164843877072,0.2774449453163121,0.1972057767813575,0.3,,,,0.5135952742781917,0.0826831464868126,0.08884158558354248
38,327.0,1,6.0,0,0.1743119266055046,0.1760459682667136,0.5186864282834047,0.2048392842345028,0.3975803578827486,0.2692741073648245,0.2237558670721219,0.3,,,,0.48934531280902505,0.1203522073058734,0.06881122436489769
39,573.0,1,6.0,0,0.181500872600349,0.1822731045338105,0.5186864282834047,0.1990100858148848,0.4004949570925575,0.2701484871277672,0.2226733016513357,0.3,,,,0.4911669355742804,0.11607635593113748,0.07004514417817971
40,590.0,1,6.0,0,0.1169491525423728,0.119816313095983,0.5186864282834047,0.1391164799598904,0.4304417600200547,0.2791325280060164,0.2115502034211225,0.3,,,,0.5102491901208497,0.07549703784541248,0.08400351540927392
41,325.0,1,5.0,0,0.0523076923076923,0.0611244956189844,0.5061856207239317,0.0987352949236278,0.450632352538186,0.2851897057614558,0.1883546219869076,0.3,,,,0.5305639603593293,0.051181827665133836,0.10328145099612977
42,592.0,1,4.0,0,0.1182432432432432,0.1210587434453425,0.4936770741676761,0.1390306886570306,0.4304846556714847,0.2791453967014454,0.1789905367889619,0.3,,,,0.5242865793719887,0.07544296155102612,0.10019828088602818
43,603.0,1,5.0,0,0.1094527363184079,0.1125007238981534,0.5061856207239317,0.1311587758804178,0.434420612059791,0.2803261836179373,0.1939129330080716,0.3,,,,0.519854653398178,0.07052655363716581,0.09400091318174139
44,289.0,2,6.0,0,0.5259515570934256,0.5051389999629438,0.5353335123391134,0.5079786092773171,0.2460106953613414,0.2238032086084024,0.2800531702943589,0.2460106953613414,,,,0.36260405332824863,0.4823443177609821,0.01352479878789766
45,289.0,1,5.0,0,0.231833910034602,0.2300580938140764,0.5061856207239317,0.2560261997930597,0.3719869001034701,0.261596070031041,0.2153187771073816,0.3,,,,0.48029506564218416,0.16077647199923134,0.06478859101361059
46,294.0,1,5.0,0,0.2551020408163265,0.2518724553775465,0.5061856207239317,0.275419970687397,0.3622900146563015,0.2586870043968904,0.2186434235464109,0.3,,,,0.4743906811382779,0.1775843925038123,0.061122031467086974
47,971.0,1,6.0,0,0.466529351184346,0.4612391029147826,0.5186864282834047,0.4629608009777783,0.2685195995111108,0.2305558798533332,0.2716927201815874,0.2685195995111108,,,,0.3919816032873702,0.40274852676243333,0.02151804002964748
48,284.0,2,6.0,1,0.3732394366197183,0.3621314177254922,0.3694678328952616,0.362832349111139,0.3185838254444305,0.2455751476333291,0.2530974362634973,0.0796459563611076,,,,0.2922231188918334,0.2660406549146337,0.002381533008735
49,294.0,1,6.0,1,0.3333333333333333,0.3251208630208587,0.3540486239280818,0.3277993594011571,0.3361003202994214,0.2508300960898264,0.246591309603072,0.0840250800748553,,,,0.309005125907287,0.22782684955674434,0.0032762378860079237
50,294.0,1,5.0,1,0.4115646258503401,0.3983692706641707,0.3426906152323327,0.3932138396056672,0.3033930801971664,0.2410179240591499,0.2388366582181144,0.0758482700492916,,,,0.28376812056778533,0.30275327812789316,0.002063081917010961
51,794.0,1,5.0,0,0.1964735516372796,0.1966682444576776,0.5061856207239317,0.2079370809722257,0.3960314595138871,0.2688094378541661,0.2070749281666672,0.3,,,,0.49521383562914245,0.12265012276211647,0.07485335511583828
52,292.0,1,6.0,0,0.3493150684931507,0.340025483937659,0.5186864282834047,0.3566709135350887,0.3216645432324556,0.2464993629697366,0.2519531696565165,0.3,,,,0.4441207790291861,0.2590181713380831,0.043527593264711756
53,289.0,2,5.0,0,0.2491349480968858,0.2462393235875392,0.5228673428502458,0.2722544978128721,0.3638727510935639,0.2591618253280692,0.2181007710536352,0.3,,,,0.47534999818658097,0.17477980862979328,0.06170565171511925
54,296.0,1,6.0,0,0.1756756756756756,0.1774935157865494,0.5186864282834047,0.2088916365684686,0.3955541817157657,0.2686662545147297,0.224508446791287,0.3,,,,0.4880826722422309,0.1233618298590345,0.06796600315343561
55,290.0,1,6.0,0,0.1137931034482758,0.1196385515759665,0.5186864282834047,0.1570492900172888,0.4214753549913556,0.2764426064974066,0.2148805824317822,0.3,,,,0.5044658787327643,0.0870421325480831,0.07957418295384196
56,832.0,1,5.0,0,0.2980769230769231,0.2958778767471239,0.5061856207239317,0.3031971717811196,0.3484014141094402,0.254520424232832,0.2234052294481919,0.3,,,,0.4660462920174141,0.20328763682337678,0.05624171654967396
57,849.0,1,5.0,0,0.1118963486454652,0.1140252600558683,0.5061856207239317,0.1274095727066555,0.4362952136466722,0.2808885640940016,0.1932702124639981,0.3,,,,0.5210837809141527,0.06821617138858914,0.09503723678034676
58,234.0,2,6.0,0,0.3974358974358974,0.3822360275139749,0.5353335123391134,0.3996334689713769,0.3001832655143115,0.2400549796542934,0.2599319299518272,0.3,,,,0.43210107031564127,0.3109861914096927,0.03844338355873279
59,829.0,1,5.0,0,0.2014475271411339,0.2015170211879265,0.5061856207239317,0.2121573680867392,0.3939213159566304,0.2681763947869891,0.2077984059577267,0.3,,,,0.49388869964108345,0.1258097697545821,0.07391265213642677
60,854.0,1,5.0,1,0.167447306791569,0.1682928501013153,0.3426906152323327,0.1742113262935444,0.4128943368532278,0.2738683010559683,0.2012933702217505,0.1032235842133069,,,,0.39038459510450707,0.09856056657265418,0.013593704497655077
61,1766.0,4,6.0,0,0.160815402038505,0.1613034440025473,0.5683565337093437,0.1681027717816141,0.4159486141091929,0.2747845842327578,0.2169333719022997,0.3,,,,0.5009308944796393,0.0944062883328024,0.07695186556507419
62,217.0,2,5.0,0,0.2534562211981567,0.2493162488968338,0.5228673428502458,0.2825410781219446,0.3587294609390277,0.2576188382817083,0.2198641848209048,0.3,,,,0.4722388621567174,0.18398409615245753,0.059829922113088775
63,878.0,1,5.0,1,0.0694760820045558,0.0724810144638637,0.3426906152323327,0.0814086444452008,0.4592956777773996,0.2877887033332199,0.1853843390477487,0.1148239194443499,,,,0.4362352416632483,0.041404152095900024,0.026872511438400852
64,1020.0,1,5.0,0,0.2549019607843137,0.2539307221043746,0.5061856207239317,0.2611380049220762,0.3694309975389619,0.2608292992616886,0.2161950865580702,0.3,,,,0.4787325317871033,0.16512106447359906,0.06380092675915985
65,2060.0,1,4.0,0,0.2766990291262136,0.2760038225906489,0.4936770741676761,0.2791283190247688,0.3604358404876155,0.2581307521462846,0.2010058787038922,0.3,,,,0.47985536550774177,0.18090128902976194,0.06644816378750124
66,996.0,1,6.0,0,0.0803212851405622,0.0827637312879425,0.5186864282834047,0.0955100089778683,0.4522449955110658,0.2856734986533197,0.2034518588101756,0.3,,,,0.5245614118834202,0.049333377181457604,0.0956987037283065
67,471.0,1,6.0,0,0.1995753715498938,0.1997717942740318,0.5186864282834047,0.2188684789452517,0.3905657605273741,0.2671697281582122,0.2263612889469753,0.3,,,,0.4849870633976298,0.13090456222128077,0.06592855734106025
69,1153.0,1,6.0,0,0.5828274067649609,0.5763750647813722,0.5186864282834047,0.5749121238727172,0.2125439380636414,0.2137631814190924,0.2924836801477903,0.2125439380636414,,,,0.3177473173217239,0.6318565250449879,0.006259062603532476
70,179.0,1,6.0,0,0.4469273743016759,0.4225525175304001,0.5186864282834047,0.4363516434758075,0.2818241782620962,0.2345472534786288,0.2667510195026499,0.2818241782620962,,,,0.4090466021991759,0.361679669496637,0.02775788674924281
72,417.0,2,4.0,0,0.0455635491606714,0.0528328397907314,0.5103726188499906,0.0835402075128293,0.4582298962435853,0.2874689688730756,0.1702706040377303,0.3,,,,0.5427378461489679,0.04258707963586566,0.11712323674215006
73,431.0,1,5.0,0,0.0719257540603248,0.077800334786141,0.5061856207239317,0.1056779022007478,0.4471610488996261,0.2841483146698878,0.1895447832344139,0.3,,,,0.5282556901451855,0.05520595764221535,0.10123362993333238
74,530.0,2,5.0,0,0.1396226415094339,0.1419780927064538,0.5228673428502458,0.162382873964157,0.4188085630179214,0.2756425689053764,0.1992656355367126,0.3,,,,0.5097118396345615,0.09057125828594256,0.08574094106282695
76,269.0,2,4.0,0,0.2453531598513011,0.2425188615520748,0.5103726188499906,0.2693938204782871,0.3653030897608564,0.2595909269282569,0.1994761717894451,0.3,,,,0.48284290094424775,0.1722661764359836,0.0683963173257967
77,269.0,2,4.0,0,0.1301115241635687,0.1352524255659156,0.5103726188499906,0.1728899031529466,0.4135550484235267,0.274066514527058,0.184311270495463,0.3,,,,0.5132656775017157,0.09765669778494586,0.09087851395167426
78,429.0,1,5.0,0,0.1864801864801865,0.1872782872796205,0.5061856207239317,0.2081219038446082,0.3959390480776958,0.2687817144233087,0.2071066120876471,0.3,,,,0.4951557388138074,0.12278779089722255,0.07481192129024164
79,2385.0,1,4.0,0,0.2691823899371069,0.2686436386646776,0.4936770741676761,0.2714390850684415,0.3642804574657792,0.2592841372397337,0.1997975705107551,0.3,,,,0.48221396983983633,0.17406130689315089,0.06798235556102235
80,2067.0,1,4.0,0,0.1654571843251088,0.1658303550496165,0.4936770741676761,0.1705205799297031,0.4147397100351484,0.2744219130105445,0.1839389482746676,0.3,,,,0.5140310109529981,0.09604326417511494,0.09150588782178995
81,2795.0,1,5.0,1,0.3724508050089445,0.3712568209550798,0.3426906152323327,0.3709534630182011,0.3145232684908994,0.2443569805472698,0.2350205936602631,0.0786308171227248,,,,0.2945034187273771,0.27550683655979413,0.002539374806053031
82,4216.0,1,4.0,0,0.1719639468690702,0.1721170800256255,0.4936770741676761,0.174389053606469,0.4128054731967655,0.2738416419590296,0.1845468512810165,0.3,,,,0.5127818809677027,0.09868235486375615,0.09048346995664837
83,279.0,1,4.0,0,0.025089605734767,0.0370834481222395,0.4936770741676761,0.081412926379078,0.459293536810461,0.2877880610431383,0.1699363170024265,0.3,,,,0.5434548236987345,0.04140652288542013,0.11781252486604296
84,3781.0,1,4.0,1,0.0838402539010843,0.0844745990498683,0.3315099770303773,0.0864192490995706,0.4567903754502147,0.2870371126350644,0.1707230248585039,0.1141975938625536,,,,0.44083897291366897,0.04419358917190955,0.029094015486016693
85,288.0,1,4.0,0,0.0451388888888888,0.0554803603524338,0.4936770741676761,0.0968196729765133,0.4515901635117433,0.285477049053523,0.1723573771820235,0.3,,,,0.5382782183141351,0.050082369529607554,0.11288728782404038
86,270.0,2,4.0,0,0.0555555555555555,0.0658205206501711,0.5103726188499906,0.110275730470153,0.4448621347649235,0.283458640429477,0.1744719005024526,0.3,,,,0.533787552221432,0.057905555490045696,0.10871356455648924
87,274.0,1,4.0,0,0.0328467153284671,0.0445168400971075,0.4936770741676761,0.0888418631961768,0.4555790684019116,0.2866737205205734,0.1711037213593992,0.3,,,,0.5409540739043227,0.04555327718176565,0.11541822604043653
88,459.0,2,4.0,0,0.0958605664488017,0.1003923820220242,0.5103726188499906,0.1255445437906111,0.4372277281046944,0.2811683184314083,0.1768712854528103,0.3,,,,0.528726379367797,0.06707425801397922,0.10412327071098253
89,454.0,2,4.0,0,0.0969162995594713,0.1014513733935646,0.5103726188499906,0.1267977315830125,0.4366011342084938,0.2809803402625481,0.1770682149630448,0.3,,,,0.5283126104608069,0.06784101781264489,0.1037534253442928
90,1308.0,2,4.0,0,0.0665137614678899,0.0685903245395705,0.5103726188499906,0.0784957571474274,0.4607521214262863,0.2882256364278859,0.1694779046945957,0.3,,,,0.5444391808754835,0.03979647170534346,0.11876253830939185
91,453.0,2,3.0,0,0.0905077262693156,0.0953233636121556,0.497864920983937,0.1203259448153719,0.439837027592314,0.2819511082776942,0.1600465635450531,0.3,,,,0.5374915145285992,0.06390476224985076,0.11484643613753227
92,1334.0,1,4.0,0,0.0509745127436281,0.0532407318970085,0.4936770741676761,0.0629277482226097,0.4685361258886951,0.2905608377666085,0.1670315032921244,0.3,,,,0.5497149946682298,0.031373635001223026,0.12392524675185104
93,796.0,2,4.0,0,0.0603015075376884,0.0638332732702814,0.5103726188499906,0.0800514093082853,0.4599742953458573,0.2879922886037572,0.1697223643198734,0.3,,,,0.5439140818096334,0.040653800331695036,0.11825523268005435
94,2303.0,1,4.0,0,0.0447242726877985,0.0460989888026472,0.4936770741676761,0.0518543863855666,0.4740728068072167,0.292221842042165,0.1652914035748747,0.3,,,,0.5534908051312064,0.025550899008112946,0.12769125674512816
95,1135.0,1,4.0,0,0.105726872246696,0.1074354554013416,0.4936770741676761,0.1173815915069125,0.4413092042465437,0.2823927612739631,0.1755885358082291,0.3,,,,0.5314276059602353,0.062133059399521746,0.1065579929251231
96,2325.0,1,4.0,0,0.2240860215053763,0.2239181027669721,0.4936770741676761,0.2273545227848155,0.3863227386075922,0.2658968215822777,0.1928699964376138,0.3,,,,0.49591585180629894,0.13747352146247593,0.07746684597531384
97,1075.0,1,4.0,0,0.3572093023255814,0.3544182200808672,0.4936770741676761,0.3581990034497399,0.32090049827513,0.246270149482539,0.2134312719706734,0.3,,,,0.4561401472697071,0.26074723530805477,0.05259764953599159
98,756.0,1,5.0,0,0.1402116402116402,0.1418659162223577,0.5061856207239317,0.1557712484552422,0.4221143757723788,0.2766343127317136,0.1981322140208987,0.3,,,,0.5118456071988341,0.08620310081991289,0.08743503808823824
99,232.0,1,4.0,0,0.25,0.2463807578910699,0.4936770741676761,0.2746971299838111,0.3626514350080945,0.2587954305024283,0.200309548997456,0.3,,,,0.4812134591159145,0.17694180456426908,0.06732804272789421
100,693.0,2,4.0,0,0.2236652236652236,0.2231247559446698,0.5103726188499906,0.2350437544054715,0.3824781227972642,0.2647434368391793,0.1940783042637169,0.3,,,,0.4935039804676222,0.14355153702613047,0.0757263643470089
101,570.0,2,4.0,0,0.1245614035087719,0.1272677135399146,0.5103726188499906,0.1464229588054184,0.4267885205972908,0.2780365561791872,0.1801521792408514,0.3,,,,0.5218650823575226,0.08014236962768077,0.09809838773524715
102,4191.0,1,5.0,0,0.0541636840849439,0.0548772146731298,0.5061856207239317,0.0580848081773999,0.4709575959113,0.29128727877339,0.1813859671161257,0.3,,,,0.5442452181328533,0.02881021399241283,0.11593320993399985
103,1654.0,1,4.0,0,0.4310761789600967,0.4283679516060631,0.4936770741676761,0.4295314157847142,0.2852342921076429,0.2355702876322928,0.2246406510518836,0.2852342921076429,,,,0.42503476573975363,0.3517701037808071,0.0360035536224753
104,4821.0,3,5.333333333333333,0,0.1904169259489732,0.1904746851866452,0.543639093814353,0.1926587569777875,0.4036706215111062,0.2711011864533318,0.2101351143246578,0.3,,,,0.4977440628570323,0.11148779885387333,0.07598664907268572
105,579.0,1,6.0,0,0.1243523316062176,0.1270249599141062,0.5186864282834047,0.1463186283066825,0.4268406858466587,0.2780522057539976,0.2128877452569553,0.3,,,,0.5079193288988335,0.08007547850584043,0.08219838781850751
106,174.0,1,6.0,0,0.2873563218390804,0.278803871074998,0.5186864282834047,0.3140807177232931,0.3429596411383534,0.252887892341506,0.2440435618628973,0.3,,,,0.45637465639822256,0.2139262060651442,0.04939120931438164
107,584.0,1,4.0,1,0.172945205479452,0.173986673822102,0.3315099770303773,0.1816832521547539,0.409158373922623,0.2727475121767869,0.1856930824814613,0.1022895934806557,,,,0.3936174439887333,0.10372637050640776,0.014546033936676736
108,563.0,1,5.0,0,0.2877442273534636,0.284884993119296,0.5061856207239317,0.296080640384286,0.351959679807857,0.2555879039423571,0.2221852526373061,0.3,,,,0.4681715254892458,0.19650917301582585,0.05745147153359491
109,567.0,1,5.0,1,0.3068783068783068,0.3033866286005955,0.3426906152323327,0.305361703305708,0.347319148347146,0.2541957445041438,0.2237762919952642,0.0868297870867865,,,,0.32626949657570836,0.2053768897233689,0.004590462817761656
110,578.0,1,5.0,0,0.0830449826989619,0.0871035969708187,0.5061856207239317,0.107781986300742,0.4461090068496289,0.2838327020548887,0.1899054833658415,0.3,,,,0.5275577582151059,0.05643790988215056,0.1006195310357389
111,173.0,1,5.0,0,0.3179190751445087,0.306155186469169,0.5061856207239317,0.335716334388592,0.332141832805704,0.2496425498417112,0.2289799430380444,0.3,,,,0.456445465007591,0.23611013263564407,0.051055049100508565
112,576.0,1,6.0,0,0.3923611111111111,0.3860536090411906,0.5186864282834047,0.3926195901917952,0.3036902049041023,0.2411070614712307,0.2586293524641905,0.3,,,,0.4340399423888063,0.3019999780000626,0.03922015364902708
113,171.0,1,4.0,0,0.5672514619883041,0.5292562878981656,0.4936770741676761,0.5239459574906299,0.238027021254685,0.2214081063764055,0.2394772218913847,0.238027021254685,,,,0.3623951298768382,0.5141927662954102,0.013921763756029375
114,256.0,1,6.0,1,0.12890625,0.1343766340164841,0.3540486239280818,0.1574191504407776,0.4212904247796112,0.2763871274338833,0.2149492707961444,0.1053226061949028,,,,0.39168555587199233,0.08728542006388089,0.013641581684384058
115,3080.0,1,5.0,1,0.0094155844155844,0.0106735325769514,0.3426906152323327,0.0138762697086754,0.4930618651456623,0.2979185595436986,0.1738073605214872,0.1232654662864155,,,,0.469852049362079,0.0065741112447070295,0.0420367434929832
116,1153.0,4,4.0,0,0.0450997398091934,0.0478158149945009,0.5436573911486317,0.0603899885233461,0.4698050057383269,0.2909415017214981,0.1666327124822401,0.3,,,,0.550578621572917,0.03002707562257885,0.12478150348875458
117,214.0,1,4.0,0,0.0186915887850467,0.0345638931134599,0.4936770741676761,0.0910122350463553,0.4544938824768223,0.2863481647430467,0.1714447797929987,0.3,,,,0.5402251141352717,0.046777549637560874,0.11472554149448728
118,956.0,1,4.0,0,0.0711297071129707,0.0738606055210549,0.4936770741676761,0.0866339260681124,0.4566830369659438,0.2870049110897831,0.1707567598107033,0.3,,,,0.5416964102233445,0.04431378499161011,0.11612606584229689
119,1141.0,2,4.0,0,0.1025416301489921,0.104296254081438,0.5103726188499906,0.1146995768338348,0.4426502115830826,0.2827950634749248,0.1751670763596026,0.3,,,,0.5323174046951897,0.060529469830071,0.10736763753331148
120,380.0,1,5.0,0,0.0526315789473684,0.060219877471374,0.5061856207239317,0.0928515172215611,0.4535742413892194,0.2860722724167658,0.187345974380839,0.3,,,,0.5325266607653404,0.04781964550114891,0.10504283945437018
121,2286.0,3,3.6666666666666665,1,0.0516185476815398,0.0529436040713571,0.3579061818019802,0.0568938965290077,0.4715530517354961,0.2914659155206488,0.1610504985187059,0.117888262933874,,,,0.4579068904590865,0.02818388442761667,0.03677072796617908
122,374.0,1,4.0,0,0.2647058823529412,0.2616445456562173,0.4936770741676761,0.2788746839120187,0.3605626580439907,0.2581687974131972,0.2009660217576029,0.3,,,,0.4799330176493457,0.18067334071003655,0.06649821597270901
123,327.0,1,4.0,0,0.0856269113149847,0.0924724812350133,0.4936770741676761,0.126187152910027,0.4369064235449865,0.2810719270634959,0.1769722668858614,0.3,,,,0.52851417628974,0.06746716205280999,0.10393349058891355
124,881.0,1,5.0,0,0.0522133938706015,0.0555915105311316,0.5061856207239317,0.0704299554331997,0.4647850222834001,0.28943550668502,0.1835022780742628,0.3,,,,0.5400604051945792,0.03539737197110763,0.11197211807696343
125,987.0,1,2.0,0,0.1661600810536981,0.1669195143878347,0.4686993234175196,0.1758215736512473,0.4120892131743763,0.2736267639523129,0.1511770594694461,0.3,,,,0.5261640137352834,0.09966591235173476,0.10709866046415879
126,5052.0,1,5.0,0,0.448535233570863,0.4475725455419064,0.5061856207239317,0.4479185495276326,0.2760407252361836,0.232812217570855,0.2482146084904513,0.2760407252361836,0.4682975564315504,-0.2626207415856202,0.4347195813469205,0.4073656279415295,0.3790457389626646,0.027521955938711852
127,358.0,1,5.0,0,0.0446927374301676,0.0531427274829355,0.5061856207239317,0.0881718171665176,0.4559140914167411,0.2867742274250223,0.1865437400856887,0.3,,,,0.5340919442210713,0.04517649219027384,0.1064607113046915
128,1324.0,1,4.0,1,0.0415407854984894,0.0439642492474327,0.3315099770303773,0.0503352771894477,0.4748323614052761,0.2924497084215828,0.1650526864154846,0.118708090351319,,,,0.4588016520502184,0.02476269366749228,0.03701629329568318
